sample id,signal strength,attention,meditation,delta,theta,low alpha,high alpha,low beta,high beta,low gamma,high gamma
0,0,35,41,212177,26133,8204,3629,15773,13654,1233,1936
1,0,43,38,188911,136176,11324,83150,67174,59769,29962,21841
2,0,47,41,1440581,128553,25642,5959,7911,7259,6526,5769
3,0,57,35,189726,81416,4313,8254,18221,16829,9028,5815
4,0,48,38,243481,22360,8623,3328,7283,3529,1284,1621
5,0,37,40,177504,67991,31277,5136,11909,5817,2956,677
6,0,40,43,498283,27569,4822,7019,2634,3306,1731,564
7,0,26,64,15008,85967,59029,53170,10849,6916,5376,1275
8,0,29,70,315204,10534,4080,11862,9874,3744,3581,2215
9,0,37,74,13010,23526,8821,16595,16702,6175,13031,5437
10,0,50,77,6057,7077,5788,3891,7381,7181,2558,3752
11,0,57,69,75567,72242,35501,19335,15329,12958,9262,6609
12,0,57,66,132400,113732,53402,22271,43395,28095,8669,4586
13,0,53,70,19417,21140,19206,14124,11940,4188,3918,6870
14,0,38,67,303331,29283,8258,4215,2383,2187,826,494
15,0,50,61,5184,8059,2840,2719,6370,6895,2444,2770
16,0,40,66,154661,60815,41389,24343,26080,5872,4646,2994
17,0,40,60,66111,33715,12648,11413,16359,4420,2133,2159
18,0,41,54,46843,18178,1561,2589,3723,1231,1080,620
19,0,35,66,15230,6985,9981,3810,1935,5416,3318,1770
20,0,34,78,10007,5642,48244,24536,2881,2315,1548,1001
21,0,40,81,16144,16159,27095,2543,9103,9031,2090,2242
22,0,47,91,7997,8894,23017,3585,10046,4255,2014,1259
23,0,38,96,4828,8693,30650,16510,5283,4310,2819,1266
24,0,41,74,84435,26808,5654,3920,1856,1887,741,330
25,0,37,70,186327,31624,19135,11335,4070,6914,2943,2276
26,0,34,69,67012,49601,45816,13787,5201,9786,2367,1897
27,0,24,56,285998,166161,49459,15383,2172,5887,3441,2465
28,0,26,63,105040,39653,26719,15411,11421,4871,2344,3804
29,0,23,60,196618,133009,55790,23459,11411,13895,2651,2129
30,0,27,54,2234,12392,7860,3926,9235,3818,1548,2122
31,0,35,66,1152,9367,29784,6258,8977,2810,1222,1375
32,0,38,63,68788,12077,4847,3482,3332,2188,552,302
33,0,47,54,88540,58248,12050,2209,5660,13129,1530,1577
34,0,37,57,35086,38404,26054,8159,6764,3556,1953,1920
35,0,47,50,8506,10897,6578,3126,4570,4298,1967,2569
36,0,44,47,13229,26178,5996,6346,4810,3458,952,2226
37,0,47,53,161987,53682,21702,14482,12265,17379,1708,4169
38,0,56,43,7610,23709,3864,4973,10553,6096,2098,2830
39,0,56,47,11525,9444,8445,6561,4268,5066,2064,3027
40,0,51,53,66274,11936,11658,1046,2281,1030,457,204
41,0,41,41,99103,22126,1085,972,2249,1603,631,513
42,0,37,53,8802,23568,24840,4022,1005,4065,2407,1183
43,0,20,66,3880,9464,65808,20413,8312,2728,1453,2343
44,0,16,50,82237,52641,4913,1973,3298,1471,807,214
45,0,11,69,186056,74136,60746,36925,13970,6501,6622,1848
46,0,17,61,134013,23222,14884,3450,15985,8853,3890,1116
47,0,21,43,1077371,120498,31742,20236,13405,6282,4241,2045
48,0,27,53,134343,15939,7572,968,5651,1384,2131,701
49,0,35,50,321186,15248,5499,15124,9709,3703,3020,1830
50,0,21,48,383785,255839,58104,32487,55013,10743,10957,2432
51,0,24,47,189656,106624,21194,10139,3142,9342,2382,1498
52,0,27,51,203307,13029,9483,8144,9501,2139,483,373
53,0,30,51,8762,7604,1478,14800,10119,3963,1319,581
54,0,40,61,77253,32068,46591,8621,10896,7513,1127,2550
55,0,37,60,891520,168791,22280,25288,12260,10172,4505,3083
56,0,38,53,10813,43925,10942,2603,5973,5568,1249,988
57,0,34,53,131966,19232,19968,11800,18921,5309,5617,2313
58,0,23,50,73372,66023,39397,24215,6351,3063,1475,830
59,0,35,60,212260,23905,30839,22063,16838,18310,2982,1398
60,0,27,54,326360,182587,16603,10190,11300,6149,2023,3362
61,0,29,53,3290,8442,4990,6436,6354,2908,2394,921
62,0,43,53,21398,19528,15575,5966,5308,4266,1324,1102
63,0,34,57,17747,15074,38583,6806,9258,4208,2290,1030
64,0,43,70,62888,8689,7361,2417,1793,1987,691,212
65,0,41,69,204450,23234,15061,9777,21590,5609,2474,998
66,0,41,64,6159,18968,4897,6278,5362,3466,1226,1141
67,0,47,48,4155,12789,2588,1522,5681,2657,1334,2033
68,0,43,43,122411,42988,16753,2471,5985,4272,3204,1815
69,0,37,47,83148,90926,77498,12480,14476,8020,1720,1296
70,0,40,51,34467,9659,5501,11183,13590,5086,1926,478
71,0,29,54,10837,49254,13794,5590,3096,3016,2210,1621
72,0,35,60,13132,27383,22561,10697,10626,7373,1142,2124
73,0,53,47,4861,7372,1684,898,6158,4371,1206,1442
74,0,53,48,1912,8854,14133,4634,9745,5094,1161,1242
75,0,57,51,115411,12880,3220,4357,829,1583,366,651
76,0,48,54,143409,69492,93215,19443,22083,6316,1748,1292
77,0,40,60,105393,20550,4394,3581,2806,4790,1597,906
78,0,37,51,46826,23564,2503,6557,4349,3339,1260,1235
79,0,38,61,49618,10732,21117,22278,9039,5778,1867,1192
80,0,41,66,13844,14732,41958,19472,4346,4090,1104,1159
81,0,30,74,99660,16386,5496,8789,2447,1659,736,511
82,0,23,83,19429,62250,58176,14896,10485,4856,3807,3123
83,0,29,64,11339,12653,2494,1944,8412,3893,2146,1327
84,0,30,60,6547,11174,5517,18284,3731,2431,1534,2033
85,0,30,61,58362,13458,9464,5184,3627,1550,803,192
86,0,48,56,1403,7871,10596,382,8404,5409,652,755
87,0,35,63,128452,20013,9491,1422,3967,1394,762,733
88,0,37,56,37073,70805,22564,19425,1514,8490,1584,800
89,0,38,54,39125,35317,13171,12005,4481,4226,2019,1414
90,0,34,61,40481,11307,19448,8280,4960,5291,2400,1626
91,0,44,54,6589,13317,1719,1949,4656,3608,1612,1304
92,0,44,57,337605,6407,2899,3573,593,877,416,369
93,0,54,57,7320,10419,3675,9971,4011,6290,1841,720
94,0,53,43,302286,10996,916,2153,2542,1764,389,754
95,0,56,53,20411,12980,7812,3683,1899,6479,2899,4733
