sample id,signal strength,attention,meditation,delta,theta,low alpha,high alpha,low beta,high beta,low gamma,high gamma
0,0,43,24,1206278,265672,21107,26034,29475,23637,2606,4260
1,0,53,24,1944692,21849,14117,20710,22587,16060,1684,800
2,0,57,41,201577,14293,22495,12404,2927,10766,2449,765
3,0,63,38,2094265,151005,44266,96170,90397,59229,4427,2375
4,26,63,38,1372793,343369,13828,19185,44627,15760,6732,4246
5,0,61,41,524836,334016,35336,48076,47744,25884,27682,5149
6,26,61,41,984520,145734,155322,85425,208319,133324,16475,13529
7,0,60,30,859510,19947,9863,5377,43597,9199,2175,2768
8,26,60,30,1748020,187313,61562,16591,50331,36076,6656,4740
9,0,51,24,1583498,848247,469971,287915,105390,158447,47496,24492
10,0,44,21,1201737,476290,159276,28687,46598,80986,16257,9942
11,26,44,21,1773884,41522,25253,26455,24353,9393,3110,827
12,0,47,14,423380,140287,13743,6724,18060,11082,2903,4647
13,0,51,17,2033044,328472,106337,94034,92656,234036,22192,16949
14,0,56,11,1328600,174321,39694,31917,25188,39879,6244,6169
15,26,56,11,140607,19007,8755,10830,5878,2870,630,212
16,26,56,11,2008962,208454,77167,18383,126680,45175,15204,5039
17,26,56,11,1987353,43301,14977,14664,23740,7192,2407,907
18,0,56,23,411076,34344,37549,22951,14084,11030,2269,1768
19,0,70,38,278764,12020,14086,4661,8887,10056,2600,1041
20,26,70,38,1376722,44652,18723,9405,10191,6614,1721,1369
21,0,61,34,76902,190268,25716,28844,47682,39214,4133,3860
22,0,63,34,786657,64714,17062,16207,38242,16310,3353,815
23,0,57,20,295059,83886,11547,9177,14136,7629,2728,936
24,0,67,16,382712,12054,14487,15714,27255,27594,4912,1038
25,0,69,14,769662,360501,46134,63832,162656,98077,27490,8536
26,0,44,13,696561,1095033,250398,62773,105427,16127,10586,2604
27,26,44,13,704012,51891,25560,22842,10599,20882,2503,985
28,0,53,21,236436,31284,16780,11299,12120,7222,2303,1815
29,0,40,27,242947,18110,19786,8277,8024,7885,1121,2749
30,0,34,41,131911,37797,25772,10270,3849,7009,2124,1206
31,0,57,50,364109,36887,35179,5748,6090,11711,1566,2145
32,0,63,43,41091,21647,7648,1724,5271,7220,2232,707
33,0,63,51,14572,7882,37327,6217,8822,9209,1403,952
34,0,61,48,13892,60626,26227,13795,8001,7129,1799,1860
35,0,61,40,71253,21162,3746,6077,5184,4881,1426,821
36,0,53,44,95385,32249,5797,19714,11563,5986,1349,1366
37,0,48,34,613950,396907,174251,83153,185841,63403,10881,9354
38,0,53,37,491750,155091,206901,50140,91677,52720,12664,5634
39,26,53,37,525872,12173,3733,2207,2426,867,486,278
40,0,47,53,1001079,13304,8072,29794,9490,3500,1935,2107
41,0,51,48,999705,534382,27172,255199,206394,146740,51034,10938
42,0,53,61,83093,21483,55068,16899,7061,10711,6435,3848
43,0,50,66,553648,104139,158330,169006,80000,44479,14822,1913
44,0,43,47,349541,220948,19002,33751,54586,8895,2974,3118
45,0,20,44,188988,57621,5370,11393,6137,1201,574,948
46,0,21,34,1076746,116543,72326,29296,73035,30156,5434,1988
47,0,13,24,1829399,74843,31748,22180,16756,5603,1034,388
48,0,30,17,504127,18354,2132,667,4085,4556,429,217
49,0,44,26,927265,99263,67250,31608,37780,13027,6453,4284
50,0,38,24,531607,16237,1695,5663,3190,1717,596,473
51,0,41,26,742635,15325,12271,2654,3157,1570,965,877
52,0,43,41,42909,14183,15510,4559,19257,9174,2454,1063
53,0,54,34,1299336,137930,34196,50920,93125,49239,10354,4327
54,0,57,38,25258,49977,21317,21163,10278,8854,1302,1319
55,0,57,27,91511,39040,3645,6385,2938,2353,405,504
56,0,61,29,686638,149634,105538,166807,159741,159248,13963,2681
57,0,66,35,600929,23176,7609,11585,4450,14784,428,222
58,0,66,37,153644,21712,16587,10387,5332,4664,2421,846
59,0,64,38,27094,123538,27410,6591,11345,6887,4876,1458
60,0,51,26,165273,44631,4896,5398,10630,5538,1567,2047
61,0,23,24,1280747,403689,117473,25593,4230,9303,6736,2426
62,0,23,11,742772,325032,44478,49776,46099,44282,4015,1294
63,0,20,11,200189,54188,6899,6824,7422,2328,2958,479
64,0,27,17,917661,25460,11543,7585,10960,8737,1712,901
65,0,47,17,369157,30762,5425,7411,4801,4930,532,401
66,0,44,21,198260,48326,9099,10224,5330,6859,681,372
67,0,61,29,276698,5667,7912,4410,14951,3484,465,308
68,0,57,35,43176,8038,11349,3217,12266,3470,3433,856
69,0,57,44,55084,23413,22831,6961,1063,6071,1999,1038
70,0,53,48,18431,46288,15911,18303,18391,4400,2766,1255
71,0,50,38,46772,32977,2208,6538,13907,6037,1216,1412
72,0,41,26,181218,228034,31596,20521,13825,18255,2212,3979
73,0,34,20,417247,467063,126343,134366,47182,36177,9994,7599
74,0,48,24,248608,4122,3797,5991,4017,3415,544,140
75,0,48,27,448615,170037,65249,21602,104923,37633,1831,1593
76,0,54,40,1402232,208464,142759,49632,66742,47526,5755,2411
77,26,54,40,587564,44346,7201,26795,11729,32248,2231,845
78,26,54,40,2593228,56521,26300,34571,26321,11113,2670,1825
79,0,50,37,1196002,97008,18550,12297,5672,3996,637,516
80,0,35,20,1409260,260382,21720,14510,9087,15704,5501,1055
81,0,41,29,1290702,11460,4219,18713,9743,9273,1447,465
82,0,43,30,867861,47044,13044,37350,20961,12789,11146,10628
83,0,60,37,430996,19370,9871,8648,9345,7452,2606,1254
84,0,54,38,421076,146209,16956,7395,5578,5553,1386,3639
85,0,43,23,73722,100324,11878,8777,14406,9325,6494,3970
86,0,38,10,1300825,212402,13343,26071,24310,20454,9159,23350
87,0,29,1,973696,91019,3809,9372,6422,8267,3709,724
88,0,38,7,603066,131029,24083,41805,5316,14199,2088,2931
89,0,51,13,3185648,409037,201621,94429,282663,243311,47794,9798
90,0,54,17,1091216,188376,58452,14059,37890,27204,5644,5575
91,0,56,29,65749,16714,5011,7053,7047,3255,2423,881
92,0,74,26,34415,10007,3340,3251,3804,6836,1548,1548
93,0,64,30,19586,20820,12461,7025,8259,5762,2665,2865
94,0,54,35,1392504,334076,77827,108070,88935,17274,7375,4650
95,0,48,50,36660,18041,42810,6365,5950,3772,1828,2370
96,0,37,56,21811,14858,5750,13052,10447,4478,2419,760
97,0,47,57,9175,3850,10713,2862,11966,7311,3100,1233
98,0,60,54,37958,24134,5256,5405,5893,4771,954,1958
99,0,70,30,26478,25273,1148,4519,4525,5652,1019,1207
100,0,74,35,18444,12963,17582,4946,6664,4735,1913,1475
101,0,63,27,7963,27520,7795,3960,5260,5775,1118,2384
102,0,53,37,5478,29948,23892,4226,6809,3044,1354,1722
103,0,54,29,19774,44135,2042,3360,6698,12196,2405,2118
104,0,43,13,67566,105973,7226,16523,20043,4840,2238,2439
105,0,27,10,166934,67623,9032,6152,10577,2852,3827,1037
106,0,34,13,72105,20435,21184,15353,9267,4255,3823,1311
107,0,29,41,6131,9172,5639,23913,1478,5912,1796,1380
108,0,40,51,78577,25103,11636,4873,2859,5104,2199,1106
109,0,50,57,34375,24681,10373,2721,6464,3497,1941,1702
110,0,56,44,43982,18192,1458,5667,3883,4439,1641,2209
111,0,44,51,5871,24731,73494,44710,4435,6119,3153,1290
112,0,38,48,11010,39516,3798,12925,8151,3327,1139,758
113,0,34,56,58390,38568,6172,31806,4910,4311,1742,1488
