sample id,signal strength,attention,meditation,delta,theta,low alpha,high alpha,low beta,high beta,low gamma,high gamma
4,0,34,78,415628,270927,73872,29689,40235,22693,3011,1928
5,0,27,66,310075,63831,4481,5885,4393,3647,768,364
6,0,13,41,62251,188588,8501,2151,2728,5478,1513,664
7,0,11,37,69792,70668,21516,13410,10925,10298,2699,1597
8,0,21,48,19222,12323,12281,4305,906,6246,1525,1530
9,0,30,67,6700,4779,8067,7543,9115,3800,948,1283
10,0,47,100,1647,4146,16855,6674,5264,5455,3378,984
11,0,51,100,109399,25481,14973,19189,9957,11393,1580,1436
12,0,51,100,20976,11445,3212,7158,8623,3968,1391,1093
13,0,51,100,18661,11022,3212,10453,8432,5010,2195,1321
14,0,50,97,9826,7626,6046,17390,4289,5210,1036,2950
15,0,53,96,8468,10489,10065,10296,10539,10978,1428,1758
16,0,53,100,3685,11717,9669,2988,4784,4329,699,1723
17,0,47,100,6372,4688,17050,19874,7356,3374,1542,1337
18,0,51,87,7468,32634,4865,3411,7100,11344,1582,1073
19,0,48,83,14850,12632,7719,5716,7041,5951,1931,1288
20,0,44,69,2463,18790,2950,5858,16479,3490,820,1240
21,0,53,53,10173,6362,1954,7105,12783,3674,2893,973
22,0,37,77,5459,15823,15921,43724,11411,2634,2620,1313
23,0,35,75,6453,16443,5842,6139,6800,4550,1774,2353
24,0,29,87,19960,34288,4523,26259,2858,4507,1000,2707
25,0,23,91,32595,19543,8641,8187,6225,3458,2031,1712
26,0,37,75,21608,9677,4453,1789,2660,3065,600,2191
27,0,29,78,32751,39270,11615,16261,2618,5459,2295,1460
28,0,40,84,13288,5065,15798,9153,4447,6821,1831,912
29,0,50,80,22864,15447,7593,1986,2897,8358,2171,1295
30,0,35,90,239112,90806,98773,14244,15011,5954,2418,2320
31,0,27,90,195226,17484,7311,4911,2058,848,1582,251
32,0,24,78,99815,43688,20017,52958,81022,17004,10463,3394
33,0,7,69,1338641,237544,24634,13783,11195,8022,3643,2056
34,0,1,60,170169,412651,188787,10533,41029,8750,9821,5370
35,0,3,50,905382,344343,67812,11207,18411,14394,9215,4949
36,0,1,50,24206,50117,24533,7227,4410,7351,3093,680
37,0,10,61,12713,23664,13005,5448,15488,4849,3683,2199
38,0,27,54,1611613,68673,4494,17379,13951,14274,8155,6596
39,0,40,70,12655,10109,9872,13520,7020,6933,2957,4808
40,0,30,70,77268,10260,4337,2928,3434,624,1029,1050
41,0,23,88,41708,22278,61976,21004,5706,3561,3986,2312
42,0,11,93,56634,79900,24274,13634,8557,3452,3498,1443
43,0,4,88,8117,17662,8414,6710,2963,3305,1163,1035
44,0,23,90,9233,6470,7480,6189,3305,7246,1905,1427
45,0,27,64,6379,27087,4545,1691,6060,2465,1942,872
46,0,43,51,1557,25884,1477,2721,6877,6652,2692,1451
47,0,47,54,52827,31276,13990,23334,7196,9022,2508,3207
48,0,30,60,272634,19166,16971,13868,2831,3284,1321,280
49,0,35,67,56332,50585,17728,17171,16914,7258,3071,2518
50,0,30,83,114792,18646,15584,1954,11178,5881,2678,4823
51,0,34,81,65487,13875,11457,9228,7408,5398,3574,1603
52,0,30,83,199284,20528,47306,9349,13088,3900,3393,776
53,0,30,90,3726,19251,6940,19520,2284,3398,1774,3028
54,0,35,96,7404,4151,7444,6001,5879,5139,1875,1271
55,0,24,100,97133,46653,58563,22608,13422,4506,2028,2099
56,0,27,90,49245,35772,10879,12722,6280,4927,2012,4473
57,0,30,91,220848,14780,47174,18967,35071,8897,6503,2498
58,0,26,90,45719,22345,16206,8531,6251,7950,3523,7381
59,0,29,80,281590,34837,7267,11283,3922,2345,767,1207
60,0,37,84,9679,5812,4480,8359,6876,3616,1981,2169
61,0,41,78,23110,15253,6429,14321,12392,9007,2129,2078
62,0,41,75,195864,45395,15336,26570,23647,14007,3771,5440
63,0,48,67,302448,49740,5342,15127,16032,8156,2081,1094
64,0,47,63,11130,6654,4046,5164,9736,2441,1403,1360
65,0,43,69,8157,3946,9207,3133,4791,3242,2226,3340
66,0,44,69,164375,12707,5285,5182,2547,4264,996,1801
67,0,41,90,114080,2484,4080,11275,3817,1226,703,497
68,0,40,84,20550,45327,8490,6925,7696,6169,988,994
69,0,30,81,334099,75289,65233,17775,27142,10041,4460,3505
70,0,14,81,219431,178123,78134,27373,8872,6396,1552,1203
71,0,17,61,16165,29884,7035,2770,6777,3593,3372,2085
72,0,20,70,55271,6477,9733,3407,6437,2612,1375,3003
73,0,24,61,929071,19944,4222,1983,1400,3048,855,325
74,0,37,61,310019,65142,28399,21309,19138,11581,2670,1579
75,0,38,69,35576,21030,9997,5377,4130,4255,2565,1595
76,0,41,53,142757,30210,4015,1838,4179,7411,1608,1263
77,0,37,50,400927,47467,4975,9033,11962,4052,1781,2439
78,0,38,47,448003,37702,15619,5070,10220,6108,2771,1735
79,0,30,40,478392,75740,13926,11472,18801,5810,1457,2007
80,0,26,43,380489,38154,1166,13640,30944,5027,2204,1549
81,0,44,40,46074,20717,4581,1991,6190,14492,3935,1380
82,0,51,37,46100,11753,3872,3924,11598,4449,4542,2182
83,0,60,48,6187,24292,19411,12480,10491,9658,1772,2300
84,0,57,53,10973,5237,418,1558,674,518,129,173
85,0,50,70,378929,12625,9969,13419,3835,7455,2322,2362
86,0,41,83,23841,16007,4288,22907,6547,3512,1200,1519
87,0,40,75,44164,31948,7369,6213,5155,5757,1775,1413
88,0,50,80,24128,8935,1781,7899,2839,5079,1992,2560
89,0,51,66,18207,20797,1747,6580,3906,8755,2603,945
90,0,54,60,85397,13608,9233,3823,9161,3381,1576,1156
91,0,53,67,171101,34019,24268,10176,6048,6370,1418,1877
92,0,47,64,335322,63659,6598,24266,14879,10710,4325,1286
93,0,37,70,847764,47609,25674,7069,4387,6494,4619,1668
94,0,38,66,141559,52409,8289,12435,7526,11758,2806,1736
95,0,54,57,679336,3322,2307,1299,4567,4168,2599,1327
96,0,50,53,39394,60988,11383,4051,9152,4764,2375,1860
97,0,44,56,200526,73293,50986,15302,8477,7156,4274,1250
98,0,51,61,13775,5578,2920,5305,6976,4106,3211,4001
99,0,37,69,118622,9840,6090,5143,2107,2473,1055,625
100,0,44,70,59685,24541,4841,6055,6038,6509,2688,2844
101,0,60,63,17830,15995,3045,8219,5578,7234,3921,1680
102,0,41,69,45605,44177,16411,34062,7394,3233,3786,1475
103,0,44,70,20713,20784,22839,10057,15485,10425,4448,5389
104,0,47,70,88282,27932,7044,5077,4040,8770,3594,1137
105,0,40,88,19075,3058,22691,6072,7976,3735,2786,1029
106,0,53,84,65980,15529,13162,4756,5344,5153,7728,4595
107,0,48,83,137334,28316,19374,4449,5478,6275,3651,4443
108,0,51,81,11983,10384,943,4458,6778,4819,5517,2079
109,0,47,81,12470,12434,51598,3853,8906,4934,1203,1519
110,0,51,81,24475,7550,8715,3673,7556,4790,2179,2449
111,0,56,88,6185,2776,19856,2248,7764,7092,2751,3973
112,0,60,97,9553,14419,7498,17691,6201,14936,2364,3678
113,0,70,84,16071,8504,7269,2436,2655,5162,2899,1837
114,0,70,90,11527,9110,1245,18968,3190,8845,5098,2521
115,0,66,80,41276,34703,36427,7893,45421,10851,2661,5306
116,0,60,70,95774,14223,4218,2432,1872,3217,1289,1039
117,0,47,74,170506,58000,36065,37071,33289,8826,3387,3410
118,0,47,67,40442,23635,18076,18301,25480,15505,8055,3385
119,0,35,63,237882,31152,6072,3690,2139,1194,395,432
120,0,34,67,37059,43876,16506,18174,3951,10019,4039,7305
121,0,47,56,12570,13121,2237,2493,6754,6677,3772,5989
122,0,43,54,33258,30037,4915,16685,5027,8577,3305,3398
123,0,47,43,197775,14886,1243,249,1665,777,633,107
124,0,51,35,103883,64747,11101,15334,18404,18068,2491,2623
125,0,48,47,41562,19827,18331,7623,2236,13860,1610,4623
126,0,40,57,7786,31304,33964,20740,2759,5233,3594,3116
127,0,47,70,41056,64164,10281,20317,19450,9537,5866,2539
128,0,47,78,20575,22622,9385,5000,3363,6688,2857,3192
129,0,44,75,17932,18846,9391,6040,4060,8348,6794,3037
130,0,53,61,14683,34653,8078,11636,9369,10721,5134,5679
131,0,61,74,19268,8133,16873,8429,3898,8459,6282,1589
132,0,64,74,23191,10418,9004,4980,12960,6669,4848,4109
133,0,60,84,30896,12967,40341,10481,9510,8405,2061,7633
134,0,53,97,358558,36628,40134,28387,6219,7749,5007,4852
135,0,56,81,87401,13789,3184,4597,14252,7941,3873,2876
136,0,47,83,13241,25056,4111,14015,5223,3508,3150,3217
137,0,47,81,21870,11742,7413,22870,3225,6728,2301,1372
138,0,41,70,20886,45658,12396,16579,13374,3432,1127,2891
139,0,27,87,7676,27941,18382,19958,3791,4783,3207,2092
140,0,30,84,173454,22307,8820,2701,2419,4373,2877,2445
141,0,34,77,124378,40239,36672,3222,4231,15310,2193,3280
142,0,37,91,75353,21250,52453,6687,2983,4731,2262,1729
143,0,27,87,109784,85261,51302,12524,4278,4080,4163,1708
